iter	F1	Logloss
0	0.7696714717	0.6782179063
1	0.7627685719	0.664263466
2	0.7627685719	0.6499872996
3	0.7669730614	0.6359549635
4	0.7669730614	0.6219417743
5	0.7655155569	0.609427706
6	0.7655155569	0.5972062659
7	0.7851297515	0.5852057515
8	0.7629452694	0.5741739803
9	0.7824064111	0.5629109634
10	0.7629452694	0.5523802868
11	0.7656985088	0.5412864085
12	0.7629452694	0.5310007897
13	0.7824064111	0.5211249713
14	0.7629452694	0.5107595056
15	0.7656985088	0.5011288119
16	0.7629452694	0.4916365895
17	0.7656985088	0.483322727
18	0.7656985088	0.4742385705
19	0.7656985088	0.4656399465
20	0.7658214742	0.4576904774
21	0.7656382747	0.4504426984
22	0.7658214742	0.4428030247
23	0.7656382747	0.4360249369
24	0.7656382747	0.4288491363
25	0.7658214742	0.4218232462
26	0.7658214742	0.415088562
27	0.7658214742	0.4092334802
28	0.7658214742	0.4032928026
29	0.7658214742	0.3975415632
30	0.7629452694	0.39198457
31	0.7658214742	0.3867250809
32	0.7658214742	0.3817695739
33	0.7658214742	0.3764294808
34	0.7658214742	0.3712393269
35	0.7658214742	0.3665329989
36	0.7658214742	0.3616887256
37	0.7658214742	0.3569482043
38	0.7658214742	0.3527632476
39	0.7658214742	0.3484333846
40	0.7629452694	0.3444492768
41	0.7824064111	0.3402988911
42	0.7824064111	0.3363491339
43	0.7824064111	0.3328000677
44	0.7832728133	0.329016365
45	0.7944310824	0.3256011275
46	0.7944310824	0.3220450369
47	0.7935496422	0.3189723257
48	0.7824064111	0.3160055744
49	0.7935496422	0.3128214593
50	0.7935496422	0.309957828
51	0.796592079	0.3069138342
52	0.7854095208	0.3040405573
53	0.796347412	0.3013119141
54	0.7961873989	0.2994919086
55	0.7957831298	0.2965577678
56	0.7963222466	0.2941543955
57	0.7963222466	0.2918184253
58	0.7963222466	0.289498998
59	0.7971965211	0.2871191965
60	0.7971965211	0.2847702445
61	0.7971965211	0.2825422828
62	0.7971965211	0.280451606
63	0.7966573558	0.2784016949
64	0.7972959195	0.276522265
65	0.7967571859	0.274715717
66	0.7972959195	0.272940124
67	0.7971965211	0.2712243609
68	0.7972959195	0.2693445799
69	0.7971965211	0.2675375991
70	0.7976329981	0.2664917213
71	0.7976329981	0.2648501477
72	0.7972959195	0.2631799272
73	0.7976329981	0.261554311
74	0.7976329981	0.2600433864
75	0.7976329981	0.2582947699
76	0.7976329981	0.2569530424
77	0.7976329981	0.2555820205
78	0.7975655596	0.2542578019
79	0.7976329981	0.2530633033
80	0.7976329981	0.2516580695
81	0.7975696864	0.2505926993
82	0.7975696864	0.249384487
83	0.7975696864	0.2481085871
84	0.7975696864	0.2469396421
85	0.7975696864	0.2457442036
86	0.7975021166	0.2446876425
87	0.7975655596	0.2437763076
88	0.7975021166	0.2426419557
89	0.7975696864	0.2418327492
90	0.7975696864	0.240763118
91	0.7979753455	0.239705575
92	0.7984799683	0.238684098
93	0.7984799683	0.2377392606
94	0.798074223	0.2367955532
95	0.7984799683	0.236053931
96	0.7984799683	0.2351275052
97	0.7984799683	0.2342634475
98	0.7984799683	0.2335051133
99	0.7975420154	0.2326039095
100	0.7984799683	0.2318191554
