iter	Passed	Remaining
0	6	33055
1	12	30771
2	17	29960
3	24	29977
4	29	29348
5	36	30078
6	42	29997
7	48	30049
8	53	29917
9	59	29917
10	66	30122
11	73	30349
12	79	30374
13	87	31085
14	93	31129
15	100	31361
16	112	32862
17	151	42039
18	160	41954
19	169	42108
20	176	41882
21	184	41762
22	192	41643
23	221	45990
24	238	47447
25	246	47234
26	254	46803
27	267	47441
28	281	48321
29	289	48012
30	297	47724
31	306	47535
32	315	47510
33	322	47031
34	327	46453
35	332	45862
36	338	45367
37	345	45159
38	352	44783
39	358	44489
40	364	44111
41	371	43807
42	382	44059
43	391	44079
44	397	43733
45	402	43384
46	408	43090
47	414	42735
48	421	42616
49	428	42386
50	433	42084
51	440	41906
52	445	41622
53	451	41388
54	458	41185
55	464	40994
56	470	40813
57	476	40577
58	482	40387
59	488	40239
60	494	40077
61	501	39965
62	507	39756
63	512	39515
64	517	39291
65	523	39101
66	528	38914
67	533	38708
68	539	38525
69	544	38336
70	549	38160
71	555	38015
72	560	37796
73	565	37660
74	571	37541
75	577	37435
76	584	37355
77	590	37258
78	596	37176
79	604	37147
80	609	37013
81	615	36892
82	620	36730
83	625	36603
84	630	36484
85	635	36328
86	640	36188
87	646	36064
88	651	35946
89	656	35836
90	661	35708
91	667	35603
92	672	35496
93	678	35419
94	684	35338
95	690	35275
96	697	35268
97	703	35176
98	709	35109
99	716	35085
100	722	35042
101	730	35060
102	736	35024
103	743	35004
104	750	35001
105	758	35040
106	766	35047
107	773	35054
108	780	35038
109	787	35002
110	793	34966
111	799	34885
112	806	34885
113	813	34853
114	819	34808
115	827	34853
116	833	34788
117	840	34758
118	846	34718
119	853	34709
120	859	34654
121	866	34636
122	873	34636
123	881	34670
124	889	34692
125	898	34756
126	906	34789
127	914	34793
128	922	34850
129	931	34899
130	939	34908
131	946	34902
132	953	34900
133	961	34932
134	969	34942
135	976	34919
136	983	34916
137	998	35168
138	1012	35414
139	1019	35385
140	1027	35406
141	1035	35431
142	1042	35416
143	1048	35359
144	1054	35294
145	1059	35227
146	1066	35193
147	1072	35147
148	1079	35134
149	1084	35065
150	1090	35017
151	1095	34938
152	1099	34842
153	1111	34987
154	1151	35984
155	1159	36001
156	1166	35969
157	1175	36031
158	1182	36010
159	1189	35987
160	1196	35961
161	1203	35941
162	1208	35871
163	1213	35787
164	1219	35722
165	1223	35639
166	1228	35560
167	1235	35547
168	1241	35494
169	1246	35415
170	1251	35350
171	1256	35269
172	1261	35204
173	1267	35155
174	1271	35066
175	1276	34982
176	1281	34911
177	1285	34831
178	1290	34765
179	1295	34688
180	1301	34651
181	1305	34571
182	1310	34494
183	1316	34448
184	1320	34377
185	1325	34302
186	1333	34330
187	1340	34321
