iter	F1	Logloss
0	0.7731486921	0.6779211768
1	0.7668531882	0.6636482454
2	0.7668531882	0.6495465439
3	0.7710826344	0.6351169251
4	0.8007850212	0.6210718956
5	0.8005849206	0.6077814294
6	0.7366247743	0.5952436015
7	0.7366247743	0.5826582252
8	0.7362665677	0.570933113
9	0.7362665677	0.5599439801
10	0.7366247743	0.5492740726
11	0.7229081823	0.5381820493
12	0.7366247743	0.5271333844
13	0.7366247743	0.5174938124
14	0.7366247743	0.5074222155
15	0.7366247743	0.498414293
16	0.7366247743	0.4891167541
17	0.7366247743	0.4805856678
18	0.7367681545	0.4723309888
19	0.8000990677	0.4640070254
20	0.7998697321	0.4564309435
21	0.7998697321	0.4491720304
22	0.7998697321	0.4414165455
23	0.7998028976	0.4344292794
24	0.7366964574	0.4271799304
25	0.7366247743	0.4204152486
26	0.7366247743	0.4140996102
27	0.7366247743	0.4076639393
28	0.7366247743	0.4018341502
29	0.7366247743	0.3957144661
30	0.7366247743	0.3901889254
31	0.7367681545	0.384778946
32	0.7998697321	0.3795849804
33	0.7995063337	0.3740770808
34	0.7990088207	0.36932782
35	0.7990088207	0.3642984784
36	0.7990088207	0.3595094736
37	0.7936398027	0.3547123306
38	0.7936398027	0.350476606
39	0.7938714959	0.3464764672
40	0.7938714959	0.3420958737
41	0.7992390289	0.337958998
42	0.7938714959	0.3339860001
43	0.7938714959	0.3304021125
44	0.7938714959	0.3269691002
45	0.7938714959	0.3231886087
46	0.7705626577	0.3198975606
47	0.7938714959	0.3166294803
48	0.7938714959	0.3132957647
49	0.7990386675	0.3100907592
50	0.7990386675	0.3069342423
51	0.7990386675	0.3042155127
52	0.7990386675	0.3012716761
53	0.7990386675	0.2982990781
54	0.7990386675	0.2955397728
55	0.7992390289	0.2931033243
56	0.7990386675	0.2906458898
57	0.7990386675	0.2883305147
58	0.7990386675	0.285907208
59	0.7992390289	0.2835113951
60	0.7988384066	0.2813421082
61	0.7988384066	0.2791388345
62	0.7986382461	0.2769867407
63	0.7989051491	0.2753001524
64	0.7989051491	0.273350667
65	0.7988384066	0.2714147286
66	0.7988384066	0.2695126354
67	0.7988384066	0.2677539149
68	0.7988384066	0.2659441017
69	0.798541252	0.2645827051
70	0.7976559492	0.263226299
71	0.7976559492	0.2615203314
72	0.7985963967	0.2599102266
73	0.7985963967	0.2584260265
74	0.7976559492	0.2568109014
75	0.7984619113	0.2552604971
76	0.7984619113	0.2538020973
77	0.7984619113	0.2523653635
78	0.7984619113	0.2509410291
79	0.7984619113	0.2497440075
80	0.798962947	0.2485310898
81	0.7987982097	0.247781533
82	0.7985963967	0.2465681124
83	0.7984619113	0.2454219946
84	0.7990974606	0.2443634349
85	0.7987982097	0.243572958
86	0.7993368769	0.2427498255
87	0.7995390644	0.2417779239
88	0.7994797834	0.2407878393
89	0.7994797834	0.2396810489
90	0.7994797834	0.2387215194
91	0.7984799683	0.2377817686
92	0.7984799683	0.2367426
93	0.7984799683	0.2357342547
94	0.7979439887	0.234900144
95	0.7979439887	0.2339779111
96	0.7979439887	0.2331718791
97	0.796967696	0.2324481887
98	0.796967696	0.2315949904
99	0.7970030519	0.2308281102
100	0.796967696	0.230043222
101	0.7970030519	0.229516219
102	0.7970030519	0.2287798233
