iter	Passed	Remaining
413	3227	35748
414	3232	35718
415	3239	35699
416	3246	35676
417	3254	35671
418	3258	35628
419	3266	35617
420	3271	35580
421	3277	35556
422	3284	35537
423	3289	35503
424	3297	35493
425	3302	35461
426	3308	35436
427	3314	35408
428	3319	35369
429	3325	35340
430	3330	35310
431	3337	35289
432	3342	35259
433	3349	35242
434	3356	35220
435	3361	35191
436	3367	35157
437	3371	35118
438	3376	35084
439	3381	35041
440	3386	35013
441	3391	34974
442	3397	34944
443	3404	34931
444	3409	34901
445	3414	34867
446	3421	34847
447	3426	34814
448	3434	34810
449	3443	34814
450	3448	34785
451	3453	34749
452	3459	34723
453	3464	34689
454	3469	34654
455	3475	34628
456	3479	34592
457	3485	34564
458	3490	34535
459	3496	34510
460	3501	34476
461	3507	34452
462	3512	34419
463	3516	34378
464	3521	34347
465	3526	34313
466	3532	34284
467	3537	34254
468	3541	34215
469	3547	34187
470	3552	34155
471	3556	34122
472	3562	34093
473	3566	34057
474	3572	34029
475	3578	34008
476	3583	33976
477	3589	33953
478	3594	33929
479	3600	33908
480	3605	33874
481	3612	33860
482	3617	33835
483	3623	33808
484	3630	33797
485	3636	33775
486	3645	33780
487	3651	33758
488	3658	33753
489	3663	33721
490	3669	33697
491	3675	33675
492	3680	33649
493	3686	33624
494	3693	33612
495	3699	33592
496	3703	33559
497	3709	33532
498	3714	33502
499	3719	33474
500	3725	33451
501	3730	33423
502	3734	33391
503	3740	33366
504	3744	33331
505	3749	33300
506	3754	33274
507	3759	33241
508	3764	33214
509	3769	33183
510	3773	33152
511	3779	33127
512	3784	33102
513	3790	33082
514	3796	33063
515	3801	33038
516	3806	33005
517	3813	32992
518	3819	32974
519	3824	32953
520	3830	32934
521	3838	32928
522	3844	32908
523	3849	32880
524	3854	32857
525	3861	32844
526	3867	32826
527	3872	32798
528	3878	32778
529	3884	32764
530	3890	32739
531	3895	32712
532	3901	32694
533	3908	32687
534	3914	32668
535	3919	32639
536	3925	32621
537	3929	32592
538	3934	32566
539	3939	32539
540	3944	32510
541	3949	32485
542	3954	32456
543	3958	32428
544	3964	32407
545	3969	32378
546	3974	32357
547	3980	32337
548	3985	32309
549	3991	32291
550	3997	32273
551	4001	32247
552	4009	32239
553	4014	32221
554	4021	32204
555	4029	32206
556	4035	32189
557	4040	32163
558	4046	32145
559	4051	32121
560	4055	32092
561	4062	32080
562	4068	32064
563	4074	32047
564	4081	32037
565	4087	32024
566	4093	32004
567	4098	31978
568	4103	31954
569	4108	31934
570	4114	31911
571	4119	31891
572	4125	31872
573	4129	31844
574	4135	31828
575	4141	31812
576	4146	31786
577	4152	31764
578	4157	31745
579	4162	31724
580	4168	31705
581	4174	31686
582	4179	31668
583	4184	31643
584	4190	31624
585	4195	31598
586	4203	31597
587	4210	31592
588	4216	31577
589	4225	31580
590	4231	31566
591	4238	31558
592	4243	31533
593	4248	31511
594	4254	31496
595	4258	31470
596	4264	31449
597	4271	31441
598	4276	31422
599	4281	31396
600	4285	31369
601	4291	31352
602	4296	31327
603	4300	31300
604	4304	31273
605	4311	31259
606	4317	31246
607	4323	31233
608	4329	31217
609	4334	31190
610	4339	31172
611	4344	31151
612	4349	31124
613	4353	31100
614	4359	31081
615	4364	31064
616	4370	31044
617	4375	31024
618	4380	31002
619	4386	30990
620	4393	30982
621	4410	31043
622	4459	31333
623	4477	31398
624	4497	31481
625	4515	31553
626	4528	31581
627	4545	31647
628	4552	31637
629	4559	31624
630	4564	31606
631	4576	31630
632	4590	31669
633	4597	31658
634	4605	31660
635	4616	31678
636	4626	31686
637	4639	31721
638	4648	31722
639	4655	31717
640	4662	31703
641	4670	31702
642	4676	31689
643	4684	31685
644	4690	31668
645	4695	31648
646	4702	31636
647	4707	31618
648	4713	31602
649	4719	31581
650	4723	31555
651	4728	31533
652	4734	31515
653	4739	31492
654	4743	31465
655	4749	31451
656	4753	31425
657	4758	31398
658	4764	31383
659	4768	31359
660	4773	31333
661	4778	31315
662	4784	31296
663	4789	31277
664	4795	31258
665	4800	31241
666	4805	31219
667	4813	31215
668	4819	31198
669	4827	31195
670	4833	31186
671	4838	31165
672	4845	31151
673	4850	31133
674	4855	31108
675	4861	31098
676	4866	31075
677	4870	31048
678	4876	31034
679	4882	31016
680	4886	30992
681	4892	30977
682	4897	30958
683	4903	30937
684	4908	30919
685	4913	30901
686	4918	30877
687	4923	30860
688	4928	30836
689	4932	30813
690	4938	30795
691	4943	30776
692	4948	30752
693	4953	30732
694	4958	30713
695	4963	30692
696	4967	30668
697	4973	30653
698	4979	30637
699	4983	30613
700	4989	30596
701	4995	30582
702	5000	30566
703	5007	30557
704	5013	30541
705	5019	30527
706	5026	30519
707	5031	30501
708	5038	30490
709	5042	30468
710	5046	30444
711	5053	30433
712	5058	30412
713	5062	30391
714	5068	30376
715	5073	30357
716	5077	30332
717	5083	30314
718	5088	30299
719	5094	30281
720	5101	30275
721	5106	30258
722	5110	30233
723	5116	30220
724	5121	30199
725	5125	30174
726	5130	30156
727	5136	30141
728	5140	30119
729	5145	30099
730	5151	30086
731	5156	30064
732	5160	30040
733	5166	30027
734	5171	30010
735	5176	29988
736	5183	29981
737	5189	29967
738	5194	29949
739	5201	29942
740	5208	29934
741	5214	29922
742	5221	29914
743	5227	29902
744	5233	29887
745	5237	29867
746	5243	29851
747	5248	29835
748	5252	29813
749	5257	29790
750	5263	29779
751	5268	29759
752	5272	29740
753	5278	29724
754	5284	29711
755	5289	29694
756	5295	29683
757	5301	29668
758	5305	29647
759	5311	29634
760	5316	29615
761	5321	29595
762	5326	29580
763	5332	29564
764	5336	29543
765	5341	29526
766	5346	29507
767	5350	29485
768	5355	29464
769	5361	29453
770	5366	29435
771	5371	29416
772	5376	29399
773	5382	29389
774	5388	29376
775	5396	29373
776	5401	29357
777	5407	29347
778	5415	29341
779	5424	29347
780	5429	29328
781	5433	29310
782	5439	29297
783	5445	29282
784	5449	29262
785	5454	29245
786	5460	29231
787	5464	29211
788	5469	29193
789	5476	29183
790	5481	29167
791	5485	29147
792	5491	29131
793	5496	29114
794	5500	29093
795	5506	29082
796	5511	29062
797	5515	29042
798	5521	29032
799	5526	29012
800	5530	28992
801	5535	28977
802	5542	28966
803	5546	28945
804	5553	28938
805	5558	28923
806	5563	28906
807	5568	28890
808	5574	28876
809	5580	28867
810	5586	28857
811	5593	28847
812	5601	28845
813	5608	28843
814	5617	28847
815	5622	28831
816	5628	28817
817	5636	28814
818	5641	28800
819	5646	28781
820	5652	28773
821	5656	28752
822	5661	28735
823	5668	28725
824	5673	28709
825	5679	28699
826	5684	28684
827	5689	28665
828	5693	28646
829	5699	28634
830	5704	28616
831	5708	28595
832	5714	28586
833	5719	28567
834	5723	28547
835	5728	28534
836	5733	28516
837	5737	28496
838	5742	28478
839	5747	28465
840	5752	28449
841	5756	28429
842	5762	28417
843	5768	28405
844	5774	28393
845	5780	28385
846	5785	28366
847	5790	28350
848	5796	28343
849	5803	28332
850	5809	28324
851	5815	28314
852	5823	28311
853	5831	28310
854	5836	28294
855	5841	28280
856	5848	28271
857	5852	28253
858	5859	28245
859	5864	28231
860	5870	28219
861	5877	28213
862	5881	28195
863	5886	28180
864	5892	28168
865	5897	28152
866	5902	28136
867	5908	28124
868	5912	28106
869	5916	28086
870	5921	28069
871	5926	28054
872	5930	28035
873	5935	28019
874	5941	28008
875	5945	27990
876	5949	27972
877	5956	27964
878	5961	27950
879	5967	27936
880	5972	27924
881	5978	27914
882	5984	27902
883	5991	27895
884	5997	27885
885	6004	27881
886	6011	27876
887	6019	27874
888	6025	27861
889	6030	27847
890	6038	27846
891	6042	27829
892	6047	27812
893	6055	27809
894	6060	27797
895	6065	27783
896	6070	27768
897	6075	27752
898	6079	27735
899	6085	27725
900	6090	27708
901	6094	27690
902	6100	27680
903	6105	27663
904	6109	27646
905	6115	27635
906	6120	27621
907	6125	27607
908	6130	27590
909	6135	27576
910	6140	27560
911	6145	27546
912	6151	27537
913	6156	27522
914	6162	27510
915	6167	27495
916	6171	27480
917	6176	27466
918	6183	27457
919	6189	27447
920	6194	27436
921	6213	27481
922	6229	27515
923	6237	27514
924	6245	27514
925	6252	27508
926	6259	27500
927	6265	27493
928	6270	27477
929	6275	27462
930	6281	27452
931	6286	27438
932	6290	27420
933	6296	27409
934	6300	27393
935	6305	27377
936	6312	27370
937	6316	27353
938	6320	27337
939	6326	27324
940	6331	27310
941	6336	27294
942	6340	27279
943	6346	27270
944	6352	27258
945	6357	27243
946	6362	27229
947	6366	27213
948	6371	27197
949	6377	27186
950	6382	27172
951	6387	27159
952	6394	27156
953	6400	27143
954	6405	27130
955	6412	27126
956	6420	27122
957	6427	27117
958	6431	27101
959	6436	27085
960	6442	27077
961	6447	27065
962	6454	27056
963	6459	27043
964	6463	27026
965	6469	27014
966	6474	27000
967	6478	26984
968	6483	26969
969	6488	26958
970	6493	26942
971	6497	26925
972	6503	26914
973	6507	26899
974	6512	26883
975	6517	26871
976	6522	26858
977	6527	26842
978	6531	26825
979	6538	26820
980	6543	26808
981	6549	26799
982	6554	26784
983	6558	26767
984	6563	26755
985	6570	26748
986	6575	26733
987	6581	26727
988	6587	26716
989	6593	26706
990	6600	26700
991	6607	26694
992	6613	26685
993	6619	26677
994	6623	26660
995	6630	26653
996	6636	26645
997	6642	26634
998	6649	26632
999	6654	26617
1000	6658	26602
1001	6665	26593
1002	6669	26578
