iter	Passed	Remaining
415	2616	28829
416	2622	28822
417	2629	28818
418	2636	28825
419	2642	28819
420	2649	28819
421	2656	28817
422	2663	28823
423	2671	28830
424	2678	28832
425	2685	28833
426	2691	28829
427	2698	28820
428	2704	28812
429	2710	28811
430	2716	28798
431	2722	28786
432	2728	28779
433	2738	28811
434	2744	28799
435	2750	28790
436	2757	28791
437	2763	28779
438	2769	28769
439	2774	28749
440	2779	28735
441	2785	28728
442	2791	28717
443	2796	28700
444	2803	28696
445	2809	28691
446	2823	28762
447	2899	29461
448	2909	29486
449	2914	29469
450	2919	29448
451	2924	29428
452	2930	29419
453	2937	29410
454	2943	29402
455	2949	29390
456	2954	29372
457	2960	29359
458	2967	29353
459	2972	29341
460	2979	29340
461	2986	29335
462	2993	29337
463	3001	29342
464	3010	29356
465	3017	29356
466	3023	29351
467	3029	29340
468	3034	29317
469	3039	29297
470	3045	29280
471	3050	29259
472	3054	29238
473	3060	29221
474	3064	29196
475	3069	29171
476	3074	29153
477	3079	29136
478	3084	29113
479	3089	29095
480	3095	29084
481	3102	29079
482	3107	29061
483	3113	29047
484	3118	29030
485	3124	29018
486	3130	29008
487	3135	28993
488	3141	28977
489	3147	28969
490	3151	28944
491	3157	28932
492	3162	28915
493	3167	28894
494	3172	28876
495	3178	28862
496	3182	28839
497	3187	28814
498	3192	28796
499	3198	28782
500	3203	28766
501	3208	28752
502	3214	28742
503	3220	28729
504	3225	28714
505	3231	28696
506	3236	28684
507	3242	28671
508	3247	28652
509	3253	28639
510	3258	28622
511	3263	28603
512	3268	28587
513	3273	28571
514	3278	28554
515	3284	28540
516	3289	28526
517	3295	28512
518	3300	28498
519	3307	28493
520	3312	28474
521	3317	28455
522	3322	28437
523	3326	28416
524	3333	28412
525	3341	28422
526	3350	28437
527	3361	28471
528	3368	28466
529	3375	28470
530	3382	28465
531	3389	28468
532	3401	28509
533	3409	28514
534	3415	28505
535	3420	28490
536	3425	28468
537	3429	28444
538	3434	28426
539	3439	28409
540	3444	28388
541	3449	28371
542	3454	28354
543	3460	28341
544	3464	28323
545	3469	28305
546	3474	28288
547	3480	28277
548	3485	28261
549	3490	28242
550	3496	28228
551	3500	28207
552	3504	28184
553	3510	28170
554	3516	28164
555	3522	28153
556	3528	28142
557	3534	28133
558	3538	28115
559	3543	28094
560	3548	28076
561	3553	28059
562	3557	28038
563	3562	28021
564	3567	28003
565	3571	27982
566	3576	27966
567	3581	27944
568	3586	27928
569	3591	27913
570	3596	27892
571	3600	27875
572	3604	27852
573	3609	27835
574	3614	27817
575	3619	27797
576	3623	27776
577	3628	27762
578	3632	27739
579	3636	27716
580	3642	27705
581	3647	27685
582	3652	27671
583	3656	27650
584	3661	27632
585	3666	27614
586	3671	27600
587	3675	27582
588	3680	27560
589	3684	27538
590	3689	27523
591	3693	27504
592	3699	27491
593	3704	27477
594	3709	27465
595	3714	27450
596	3720	27437
597	3725	27425
598	3730	27409
599	3735	27397
600	3741	27389
601	3748	27384
602	3756	27388
603	3763	27387
