iter	F1	Logloss
0	0.7701627123	0.6782487453
1	0.7641728207	0.6642980451
2	0.7641728207	0.650487637
3	0.7687367932	0.6372541397
4	0.768557283	0.6231890007
5	0.768557283	0.6107805169
6	0.7361942295	0.5976012754
7	0.76753013	0.5861479308
8	0.7361942295	0.5747642482
9	0.7676526047	0.562847667
10	0.7363378182	0.5513116703
11	0.7361942295	0.5411328769
12	0.7361942295	0.5308830148
13	0.7361942295	0.5205612549
14	0.7361942295	0.5112071846
15	0.76753013	0.5022095525
16	0.76753013	0.4924237086
17	0.76753013	0.4839389549
18	0.7361942295	0.4750875315
19	0.7361942295	0.4665987901
20	0.7361942295	0.4587126174
21	0.7361942295	0.4514141722
22	0.7367326396	0.4443790432
23	0.7367326396	0.4375507913
24	0.7367326396	0.4301280082
25	0.7361942295	0.4230789041
26	0.7367326396	0.4160974814
27	0.76753013	0.4100894837
28	0.7361942295	0.4037561394
29	0.76753013	0.3974689882
30	0.76753013	0.3914099938
31	0.76753013	0.3857068236
32	0.76753013	0.3800543813
33	0.76753013	0.3746212456
34	0.76753013	0.3695788058
35	0.76753013	0.3650411661
36	0.76753013	0.3601987635
37	0.76753013	0.3559870822
38	0.76753013	0.351348192
39	0.76753013	0.3469002083
40	0.76753013	0.3430690259
41	0.7960857916	0.3392411103
42	0.7960857916	0.3352629861
43	0.7361942295	0.3317981014
44	0.7960857916	0.3279442802
45	0.7960857916	0.324262023
46	0.7361942295	0.321128892
47	0.7960857916	0.3175800286
48	0.7361942295	0.3146297786
49	0.7361942295	0.3114101508
50	0.7361942295	0.3086645513
51	0.7367326396	0.306004238
52	0.7367326396	0.3030324798
53	0.7361942295	0.3005174353
54	0.7361942295	0.2974855607
55	0.7361942295	0.2948504526
56	0.7367326396	0.2923673781
57	0.7367326396	0.2898960529
58	0.7367326396	0.2876884198
59	0.7367326396	0.2853046037
60	0.7367326396	0.2830431132
61	0.7367326396	0.2807506838
62	0.7367326396	0.278880522
63	0.7367326396	0.2768359849
64	0.7367326396	0.2753941376
65	0.7367326396	0.2733948094
66	0.7367326396	0.2717173866
67	0.7367326396	0.2700181109
68	0.7967036982	0.26819733
69	0.7367326396	0.2666637574
70	0.7367326396	0.2651754807
71	0.7967036982	0.2636651395
72	0.7967036982	0.2623025653
73	0.7967036982	0.2606129677
74	0.7963631131	0.2591427158
75	0.7967036982	0.257689783
76	0.7971776653	0.2563712767
77	0.7971776653	0.2547961693
78	0.7971776653	0.2535127767
79	0.7971776653	0.2520979563
80	0.7979223525	0.2509281219
81	0.7979223525	0.2496469279
82	0.7986280499	0.2483332516
83	0.7986280499	0.2470026033
84	0.7986280499	0.2459296926
85	0.7986280499	0.2448950973
86	0.7986280499	0.2436883378
87	0.7986280499	0.2425547482
88	0.7985230214	0.2414456389
89	0.7986280499	0.2403935595
90	0.7986280499	0.2396990446
91	0.7986280499	0.2388553293
92	0.7986960253	0.2380583541
93	0.7986960253	0.2371772368
94	0.7986280499	0.2363943012
95	0.7986960253	0.2358257021
96	0.7986280499	0.2348679227
97	0.7986280499	0.2341227686
98	0.7986280499	0.2333687319
99	0.7986280499	0.2325888598
100	0.7986280499	0.2317437922
101	0.7986280499	0.2309152302
102	0.7986280499	0.2303058978
103	0.7984241932	0.2295911445
104	0.7984241932	0.228830359
105	0.7984241932	0.2280221945
106	0.7984241932	0.2273300902
107	0.7984241932	0.2265974726
108	0.7984241932	0.2259953299
109	0.7984241932	0.2252782373
110	0.7984241932	0.2245644141
111	0.7984241932	0.2238362504
112	0.7986894967	0.2231590377
113	0.7987573393	0.2226302059
114	0.7987573393	0.2220718501
115	0.7987573393	0.2215267265
116	0.7987573393	0.2211452624
117	0.7987573393	0.2206666462
118	0.7988625659	0.2202030964
119	0.7987573393	0.2194567131
120	0.7987573393	0.2189992733
121	0.7987573393	0.2185289839
122	0.7987573393	0.2179912239
123	0.7987573393	0.2174612406
124	0.7987573393	0.2169556515
125	0.7987573393	0.2165208194
126	0.7987573393	0.2160358649
127	0.7988625659	0.2157537691
128	0.7988625659	0.2153502864
129	0.7988625659	0.2149928918
130	0.7988625659	0.2147614015
131	0.7988625659	0.214319747
132	0.7988625659	0.2138709462
133	0.7988625659	0.213428561
134	0.7988625659	0.2131012075
135	0.7988625659	0.2126318875
136	0.7988625659	0.2123653361
137	0.7988625659	0.212070657
138	0.7989305095	0.2117393438
139	0.7989305095	0.2113450743
140	0.7989305095	0.2109803278
141	0.7988625659	0.2106994545
142	0.7988625659	0.2102978056
143	0.7988625659	0.2099514221
144	0.7988625659	0.2097396585
145	0.7989305095	0.2093746063
146	0.7989305095	0.2090335284
147	0.7989305095	0.2087439944
148	0.7989305095	0.2084143854
149	0.7989305095	0.208214008
150	0.7988625659	0.2077382823
151	0.7989305095	0.2074190629
152	0.7989984646	0.2070813918
153	0.7989305095	0.2067505659
154	0.7989305095	0.2065448565
155	0.7989305095	0.206212164
156	0.7989984646	0.2060162658
157	0.7989305095	0.2056776508
158	0.7989305095	0.205395895
