iter	F1	Logloss
0	0.7729827622	0.6779909401
1	0.7670995066	0.6638275756
2	0.7670995066	0.6490614841
3	0.763743168	0.6355808976
4	0.7657001559	0.6223799935
5	0.7657001559	0.6085881362
6	0.7670995066	0.5959149199
7	0.7691079346	0.5827568314
8	0.7704956308	0.5703113955
9	0.7691079346	0.5583165133
10	0.7691079346	0.5475331988
11	0.7711629437	0.5365116961
12	0.7711629437	0.5257797971
13	0.7458151974	0.5160434671
14	0.7691079346	0.5061130963
15	0.7691079346	0.4961908177
16	0.7711629437	0.4870856483
17	0.7711629437	0.4776577988
18	0.7711629437	0.469383024
19	0.7458151974	0.4605989865
20	0.7711629437	0.4526905675
21	0.7458151974	0.4452961098
22	0.7697719727	0.4376226567
23	0.7697719727	0.4303323663
24	0.7697719727	0.4228976868
25	0.7711629437	0.4164389353
26	0.7697719727	0.4099893207
27	0.7697719727	0.4037118709
28	0.7697719727	0.3978794305
29	0.7458151974	0.3922408632
30	0.7711629437	0.3866534573
31	0.7458151974	0.3810372634
32	0.7458151974	0.3755555727
33	0.7458151974	0.3701108552
34	0.7458151974	0.3647799987
35	0.7458151974	0.3597913252
36	0.7458151974	0.3553737805
37	0.7458151974	0.3505711403
38	0.7458151974	0.3461393685
39	0.7458151974	0.3420629736
40	0.7458151974	0.3379510729
41	0.7458151974	0.333918558
42	0.7458151974	0.3304011077
43	0.7458151974	0.3268955092
44	0.7458151974	0.3235040576
45	0.7458151974	0.3197696284
46	0.7458151974	0.3166028644
47	0.7458151974	0.3130363457
48	0.7458151974	0.3098175263
49	0.7458151974	0.3067771716
50	0.7458151974	0.3039953453
51	0.7458151974	0.3011843321
52	0.7458151974	0.2982278903
53	0.7458151974	0.2955037568
54	0.7458151974	0.293054354
55	0.7458151974	0.2902860067
56	0.7458151974	0.2877417934
57	0.7458151974	0.2851871268
58	0.7458151974	0.2830418383
59	0.7458151974	0.2808811848
60	0.7458151974	0.2785103848
61	0.8035106039	0.2763770462
62	0.8035106039	0.2742087302
63	0.8036980298	0.2722400442
64	0.8035106039	0.2704376854
65	0.8035106039	0.2684272781
66	0.8035106039	0.266887172
67	0.8035106039	0.2651081974
68	0.8035106039	0.2631729456
69	0.8035106039	0.2615560084
70	0.8035106039	0.2597980523
71	0.8035106039	0.2580428637
72	0.8044038565	0.2567841061
73	0.8044038565	0.2555635542
74	0.8044038565	0.2543272859
75	0.8044038565	0.2528222744
76	0.8044038565	0.2514647788
77	0.8044038565	0.2499399431
78	0.8044038565	0.2486865539
79	0.8044038565	0.2472606987
80	0.8044038565	0.2462234638
81	0.8044038565	0.2450648983
82	0.8044038565	0.2437207893
83	0.8044038565	0.2425183984
84	0.8044038565	0.2412541688
85	0.8044038565	0.2402245161
86	0.8044038565	0.2391713536
87	0.8044038565	0.2380972862
88	0.8044038565	0.2371447206
89	0.8044038565	0.2360569888
90	0.8044038565	0.2350118895
91	0.8047688845	0.2341177828
92	0.8044038565	0.2330786073
93	0.8044038565	0.232229997
94	0.8047688845	0.231324071
95	0.8044038565	0.2304028079
96	0.8047688845	0.2294528052
97	0.8047688845	0.2287293754
98	0.8047688845	0.2277196827
99	0.8047688845	0.2267397229
100	0.8047688845	0.2258810819
101	0.8047688845	0.2250467242
102	0.8047688845	0.2243093679
103	0.8047688845	0.2235870716
104	0.8047688845	0.222807836
105	0.8047688845	0.2223721188
106	0.8047688845	0.2216645476
107	0.8047688845	0.2212703459
108	0.8047688845	0.2205455359
109	0.8046081887	0.219986649
110	0.8046763225	0.2196107145
111	0.8046763225	0.218919343
112	0.8046763225	0.2183157433
113	0.8046763225	0.2178034787
114	0.8046763225	0.2171487261
115	0.8046763225	0.2168390091
116	0.8046763225	0.2163232563
117	0.8046763225	0.215770144
118	0.8046763225	0.2152785783
119	0.8046763225	0.214966126
120	0.8046763225	0.2144822568
121	0.8046763225	0.2139130807
122	0.8046763225	0.2134405737
123	0.8046763225	0.2128252431
124	0.8046763225	0.2123113669
125	0.8046763225	0.2118846325
126	0.8032281552	0.2113550768
127	0.8046763225	0.2108547095
128	0.8046763225	0.2103703527
129	0.8046763225	0.2099674291
130	0.8032281552	0.2095747145
131	0.8046763225	0.2091548284
132	0.8046763225	0.2087790062
133	0.802723598	0.208412389
134	0.802723598	0.20796335
135	0.802723598	0.2074674858
136	0.802723598	0.2070697546
137	0.802723598	0.2067275068
138	0.802723598	0.206392285
139	0.802723598	0.2060015196
140	0.8030495073	0.2057428365
141	0.8030495073	0.2054295724
142	0.8030495073	0.2051171837
143	0.8030495073	0.2047309953
144	0.8030495073	0.2044380741
145	0.8030495073	0.2039589669
146	0.8030495073	0.2036015078
147	0.8046763225	0.2032922613
148	0.8035530744	0.202935812
149	0.8030495073	0.2026842488
150	0.8030495073	0.2023839135
151	0.8030495073	0.2020522167
152	0.8030495073	0.2017107792
153	0.8030495073	0.2014417461
154	0.8030495073	0.2011690641
155	0.8030495073	0.2010033195
156	0.8030495073	0.200509426
157	0.8030495073	0.200335398
158	0.8030495073	0.2000878839
159	0.8030495073	0.1998400198
160	0.8046763225	0.1995084383
161	0.8046763225	0.1992707353
162	0.8046763225	0.1989781199
163	0.8046763225	0.1986711219
164	0.8046763225	0.1984709375
165	0.8046763225	0.198244149
166	0.8046763225	0.1980896736
167	0.8046763225	0.197869136
168	0.8046763225	0.1977298283
169	0.8044472218	0.197585021
170	0.8043790557	0.1971851161
171	0.8043790557	0.1967109149
172	0.8046081887	0.1964799568
173	0.8043790557	0.196199582
174	0.8043790557	0.195954846
175	0.8043790557	0.1957586418
176	0.8043790557	0.1956678097
177	0.8048807931	0.1954842503
178	0.8046081887	0.1951600213
179	0.8043790557	0.1950241429
180	0.8032802308	0.1948330067
181	0.8043790557	0.194639242
182	0.8032802308	0.1944519663
183	0.8032802308	0.1942359615
184	0.8034848461	0.1940277957
185	0.8034848461	0.1938183771
186	0.8029812931	0.1936084036
187	0.8029812931	0.193409097
188	0.8034848461	0.1932482299
189	0.8029812931	0.1930928715
190	0.8034848461	0.1929077741
191	0.8029812931	0.1927832932
192	0.8029812931	0.192664576
193	0.8029812931	0.1924757119
194	0.8029812931	0.1922935159
195	0.8029812931	0.1921423284
196	0.8029812931	0.1919140592
197	0.8029812931	0.1917382758
198	0.8029812931	0.1915432429
199	0.8029812931	0.1913372918
200	0.8029812931	0.1911975092
201	0.8029812931	0.1910289228
202	0.8029812931	0.190770066
203	0.8029812931	0.1905153479
204	0.8027767199	0.1903235046
205	0.8039573882	0.1902075289
206	0.8044664761	0.1900249794
207	0.8044664761	0.1899066338
208	0.8044664761	0.1898024881
209	0.8050889742	0.1896846794
210	0.8044664761	0.1895383891
211	0.8045797575	0.1894211058
212	0.8045797575	0.1892240328
213	0.8045797575	0.1890674468
214	0.8045797575	0.1889124296
