Месяц,Всего аварий,Аварии простой,Аварии макс,Время жизни,Время активности,Звонков,Отбитые звонки,Неотвеченные,Цена тарифа,Скорость тарифа,Доп услуги,Смотрешка,Пол,Платежей,Тип платежа,Сумма платежей,Сервисная заявка,Отток
4,2,6534,6354,138714301,139273213,0,0,0,700,25,0,0,1,2,6,1400,0,0
4,2,6534,6354,137234216,138241819,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,2,6534,6354,133529837,134260243,0,0,0,700,25,0,0,1,2,6,1300,0,0
4,2,240,240,132139707,121910400,0,0,0,500,20,1,0,1,2,3,1200,0,0
4,4,3120,3000,132147193,113184000,0,0,0,500,20,1,1,1,0,0,0,0,0
4,4,3120,3000,130940059,121211048,0,0,0,500,50,1,0,1,2,6,1400,0,0
4,2,6534,6354,128595687,113184000,1,0,0,500,50,0,1,1,2,6,700,0,0
4,3,108900,68506,120124849,120879604,0,0,0,700,25,0,0,1,2,6,1200,0,0
4,2,6534,6354,117702558,117486810,1,0,0,700,25,0,0,1,1,3,1200,1,0
4,2,6534,6354,117628314,118526341,1,0,0,700,25,0,0,1,2,6,1200,1,0
4,2,240,240,117537755,119302082,0,0,0,800,50,1,0,1,2,6,1700,0,0
4,3,71580,43068,116576570,97372800,0,0,0,800,100,1,0,1,1,3,900,0,0
4,2,6534,6354,115035241,115828503,2,0,1,800,100,1,0,1,2,6,1450,0,0
4,1,240,240,114595189,115862400,0,0,0,500,20,0,0,1,2,6,800,0,0
4,1,60,60,58006411,59709995,0,0,0,700,25,0,0,1,2,6,1150,0,0
4,1,240,240,110544801,112924800,0,0,0,400,5,0,0,1,2,6,600,0,0
4,2,6534,6354,109425229,110406851,0,0,0,700,25,1,0,1,2,6,1300,0,0
4,2,6534,6354,109167843,107635547,0,0,0,700,25,0,0,1,2,6,1300,0,0
4,2,6534,6354,107430337,106940667,1,0,0,700,25,1,0,1,2,6,1299,1,0
4,1,240,240,106127906,89510400,0,0,0,500,20,1,0,1,0,0,0,0,0
4,1,5086,5086,103269873,31622400,0,0,0,800,50,0,0,1,0,0,0,0,0
4,3,71580,43068,102688705,104889600,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,1,240,240,101640595,102141772,1,0,0,800,100,0,0,1,1,3,850,0,0
4,2,300,300,97244608,89078400,0,0,0,500,50,1,0,1,2,6,1400,0,0
4,3,11640,11220,97677777,97545600,1,0,0,500,20,1,0,1,2,6,1200,1,0
4,2,360,240,95756699,97286400,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,2,6534,6354,93689811,92894732,0,0,0,800,50,0,0,1,2,6,1400,0,0
4,2,6534,6354,27513607,28944000,1,0,0,900,100,0,0,1,2,6,1800,0,0
4,2,6534,6354,93346093,94867200,2,1,1,650,40,0,0,1,2,6,1100,0,0
4,2,6414,6354,84632690,71020800,0,0,0,800,50,0,0,1,2,6,1700,0,0
4,1,180,180,89813031,79922571,0,0,0,700,25,0,0,1,2,6,1300,0,0
4,2,6534,6354,89121854,87099853,6,1,2,800,50,0,0,1,0,0,0,0,0
4,2,6534,6354,86188057,86745600,0,0,0,650,40,1,0,1,2,6,1500,0,0
4,2,6534,6354,84980211,81475200,0,0,0,500,50,0,0,1,2,6,1000,0,0
4,1,240,240,84364184,86918400,0,0,0,500,20,1,0,1,2,6,1200,0,0
4,1,240,240,83375999,76636792,0,0,0,100,1,0,0,1,0,0,0,0,0
4,2,6534,6354,82210896,79891789,0,0,0,700,25,1,0,1,2,6,708,0,0
