iter	Passed	Remaining
0	9	46806
1	13	34470
2	18	30467
3	22	27983
4	27	27557
5	35	29364
6	42	30630
7	49	30776
8	56	31390
9	62	30943
10	67	30388
11	72	30136
12	78	29999
13	83	29635
14	88	29421
15	94	29572
16	100	29376
17	105	29181
18	112	29366
19	117	29226
20	123	29321
21	129	29363
22	135	29269
23	143	29715
24	148	29640
25	153	29424
26	160	29505
27	165	29396
28	172	29599
29	180	29942
30	188	30220
31	194	30134
32	200	30222
33	207	30331
34	212	30172
35	217	29950
36	222	29874
37	228	29868
38	234	29883
39	240	29828
40	245	29691
41	250	29561
42	255	29467
43	261	29404
44	268	29580
45	274	29606
46	281	29660
47	286	29597
48	292	29571
49	300	29744
50	308	29903
51	314	29883
52	320	29928
53	328	30117
54	335	30168
55	343	30332
56	349	30335
57	357	30450
58	364	30518
59	372	30653
60	379	30700
61	388	30935
62	394	30891
63	401	30996
64	407	30909
65	413	30929
66	419	30891
67	424	30787
68	429	30722
69	434	30632
70	439	30542
71	445	30486
72	449	30369
73	454	30234
74	459	30163
75	464	30073
76	469	30000
77	473	29898
78	479	29869
79	485	29828
80	489	29746
81	495	29744
82	502	29744
83	506	29640
84	512	29610
85	517	29570
86	522	29508
87	528	29510
88	533	29434
89	538	29392
90	544	29383
91	549	29333
92	554	29247
93	559	29196
94	565	29176
95	572	29236
96	580	29337
97	587	29364
98	595	29495
99	600	29441
100	609	29582
101	616	29586
102	623	29626
103	629	29646
104	636	29662
105	642	29655
106	648	29654
107	654	29637
108	660	29659
109	666	29608
110	671	29575
111	677	29558
112	681	29480
113	686	29412
114	691	29388
115	696	29325
116	701	29273
117	707	29265
118	711	29192
119	716	29124
120	720	29071
121	725	29002
122	729	28941
123	735	28921
124	740	28880
125	745	28834
126	750	28782
127	755	28740
128	759	28680
129	765	28658
130	770	28635
131	776	28625
132	781	28606
133	787	28585
134	793	28606
135	798	28570
136	807	28671
137	812	28637
138	818	28626
139	824	28637
140	829	28575
141	834	28546
142	841	28571
143	846	28536
144	852	28559
145	858	28556
146	863	28504
147	869	28512
148	875	28508
149	880	28468
150	886	28474
151	893	28496
152	900	28524
153	906	28538
154	913	28539
155	919	28563
156	925	28556
157	930	28515
158	937	28543
159	941	28489
160	948	28497
161	954	28516
162	961	28531
163	968	28567
164	976	28619
165	983	28640
166	991	28706
167	998	28716
168	1005	28753
169	1013	28781
170	1020	28823
171	1027	28832
172	1036	28907
173	1043	28950
174	1051	28990
175	1059	29029
176	1067	29097
177	1073	29072
178	1079	29066
179	1085	29064
180	1091	29050
181	1097	29059
182	1104	29071
183	1109	29039
184	1114	28996
185	1118	28945
186	1124	28930
187	1128	28891
188	1133	28844
189	1137	28799
190	1143	28793
191	1147	28741
192	1152	28711
193	1159	28713
194	1163	28662
195	1167	28608
196	1172	28595
197	1177	28554
198	1182	28517
199	1187	28510
200	1192	28478
201	1197	28432
202	1202	28421
203	1208	28413
204	1212	28368
205	1217	28325
206	1224	28346
207	1228	28302
208	1232	28262
209	1238	28241
210	1242	28211
211	1247	28183
212	1252	28141
213	1258	28137
214	1262	28091
215	1268	28084
216	1273	28066
217	1278	28053
218	1284	28046
219	1291	28060
220	1295	28020
221	1301	28007
222	1307	28002
223	1312	27975
224	1318	27986
225	1324	27976
226	1329	27953
227	1335	27954
228	1340	27937
229	1345	27911
230	1351	27911
231	1358	27920
232	1364	27914
233	1370	27919
234	1375	27890
235	1381	27885
236	1388	27895
237	1392	27870
238	1397	27841
239	1403	27830
240	1407	27798
241	1412	27771
242	1417	27750
243	1423	27744
244	1428	27720
245	1434	27723
246	1439	27695
247	1443	27656
248	1449	27651
249	1453	27625
250	1458	27587
251	1463	27565
252	1468	27551
253	1472	27517
254	1478	27510
255	1485	27533
256	1491	27529
257	1498	27536
258	1504	27538
259	1510	27535
260	1516	27530
261	1520	27493
262	1524	27466
263	1530	27456
264	1534	27424
265	1538	27383
266	1544	27371
267	1549	27361
268	1554	27339
269	1559	27323
270	1565	27313
271	1569	27285
272	1574	27269
273	1580	27267
274	1585	27249
275	1591	27236
276	1596	27221
277	1601	27203
278	1606	27176
279	1610	27145
280	1614	27117
281	1619	27097
282	1624	27079
283	1630	27074
284	1634	27047
285	1638	27014
286	1644	27005
287	1649	26983
288	1653	26948
289	1658	26928
290	1662	26897
291	1666	26868
292	1670	26838
293	1674	26801
294	1678	26774
295	1682	26745
296	1686	26712
297	1691	26689
298	1697	26682
299	1701	26658
300	1706	26632
301	1710	26609
302	1715	26587
303	1719	26563
304	1723	26531
305	1728	26509
306	1732	26482
307	1737	26468
308	1742	26448
309	1746	26419
310	1750	26386
311	1754	26369
312	1758	26338
313	1763	26312
314	1767	26285
315	1771	26255
316	1775	26229
317	1779	26205
318	1784	26178
319	1788	26151
320	1792	26125
321	1796	26098
322	1801	26080
323	1805	26056
324	1810	26045
325	1815	26031
326	1819	26007
327	1824	25992
328	1829	25975
329	1835	25972
330	1839	25953
331	1844	25935
332	1848	25907
333	1852	25883
334	1857	25865
335	1861	25845
336	1865	25819
337	1870	25805
338	1875	25788
339	1879	25764
340	1883	25735
341	1887	25710
342	1893	25702
343	1897	25682
344	1901	25658
345	1906	25644
346	1910	25623
347	1914	25595
348	1918	25567
349	1922	25541
350	1926	25522
351	1930	25496
352	1934	25470
353	1941	25484
354	1947	25478
355	1953	25478
356	1957	25458
357	1961	25432
358	1965	25408
359	1970	25396
360	1974	25375
361	1978	25353
362	1983	25332
363	1988	25320
364	1992	25298
365	1997	25290
366	2002	25276
367	2007	25266
368	2011	25244
369	2015	25221
370	2020	25214
371	2024	25189
372	2029	25181
373	2034	25169
374	2039	25151
375	2044	25138
376	2049	25130
377	2054	25117
378	2058	25095
379	2062	25074
380	2067	25065
381	2071	25044
382	2076	25034
383	2081	25018
384	2085	25003
385	2089	24980
386	2093	24953
387	2097	24933
388	2102	24916
389	2106	24901
390	2110	24879
391	2114	24861
392	2120	24860
393	2125	24849
394	2130	24832
395	2134	24821
396	2139	24804
397	2143	24786
398	2147	24763
399	2152	24748
400	2156	24728
401	2160	24712
402	2164	24691
403	2168	24672
404	2173	24654
405	2176	24632
406	2181	24617
407	2186	24604
408	2190	24582
409	2194	24562
410	2198	24542
411	2202	24530
412	2206	24508
413	2211	24495
414	2215	24480
415	2220	24469
416	2224	24453
417	2229	24439
418	2234	24427
419	2238	24408
420	2242	24388
421	2248	24395
422	2253	24382
423	2257	24359
424	2262	24355
425	2267	24348
426	2271	24326
427	2275	24310
428	2280	24294
429	2284	24275
