iter	F1	Logloss
0	0.7714062335	0.6780151539
1	0.7646596648	0.6638243064
2	0.7646596648	0.6497087267
3	0.7689659498	0.635007119
4	0.7990356254	0.6207402995
5	0.7949426717	0.6074485077
6	0.7651476465	0.5949342052
7	0.7647816019	0.583329927
8	0.7647816019	0.5719997155
9	0.7647816019	0.5599497669
10	0.7647816019	0.5481639919
11	0.7675802691	0.5367639777
12	0.767519227	0.5258517937
13	0.767519227	0.5162579342
14	0.767519227	0.5069050828
15	0.7681844559	0.4975819138
16	0.7681844559	0.4878957906
17	0.7673971719	0.479553993
18	0.7673971719	0.4704489168
19	0.7673971719	0.4617364839
20	0.767519227	0.4535270915
21	0.767519227	0.446214699
22	0.7679467258	0.4387258499
23	0.7686118183	0.4312218995
24	0.7686118183	0.4246383949
25	0.7686118183	0.4175434999
26	0.7686118183	0.4113752254
27	0.7686118183	0.4053512937
28	0.768974313	0.3995915721
29	0.768974313	0.3940213405
30	0.768974313	0.3881248382
31	0.768974313	0.3826770956
32	0.768974313	0.3769481749
33	0.7686690304	0.3712372032
34	0.768974313	0.3661002911
35	0.768974313	0.3615691532
36	0.768974313	0.3567562378
37	0.7686690304	0.3523871824
38	0.7690311496	0.3477379298
39	0.7693364075	0.3433301039
40	0.7690311496	0.3392230775
41	0.7935098277	0.335207231
42	0.7690311496	0.3312606897
43	0.793444323	0.3275156523
44	0.7935098277	0.324102397
45	0.7987255508	0.3208558832
46	0.7935098277	0.3173014406
47	0.7987255508	0.3141290735
48	0.7935098277	0.3107698342
49	0.793444323	0.3078648138
50	0.7935098277	0.3050977463
51	0.7987255508	0.3020163605
52	0.7987255508	0.298958569
53	0.7988053236	0.2964591585
54	0.7988053236	0.293719311
55	0.7988053236	0.2908026383
56	0.7988053236	0.2884700174
57	0.7988053236	0.2862777646
58	0.7988053236	0.2835931373
59	0.7986717447	0.2813342075
60	0.7988053236	0.2790445391
61	0.7986717447	0.276890456
62	0.7986717447	0.2747836174
63	0.7986717447	0.2729558697
64	0.7988053236	0.2711827205
65	0.7988053236	0.2691647588
66	0.7988053236	0.2675022977
67	0.7988053236	0.265628793
68	0.7988053236	0.2637385562
69	0.7988053236	0.2619681956
70	0.7988053236	0.260253411
71	0.7988053236	0.2587013566
72	0.7988053236	0.2570660964
73	0.7982099817	0.2557343
74	0.7988053236	0.2543025921
75	0.7982099817	0.2527537731
76	0.797947586	0.2515174565
77	0.797947586	0.2501242762
78	0.797947586	0.2485329651
79	0.7986174976	0.2473031278
80	0.7986174976	0.2459854631
81	0.7981228354	0.2449405246
82	0.7981228354	0.243500799
83	0.7981228354	0.2424784134
84	0.7981228354	0.2412972598
85	0.7983244091	0.2403336067
86	0.7981228354	0.2392920208
87	0.7983244091	0.2382743397
88	0.7981228354	0.2373935816
89	0.7983244091	0.2363890754
90	0.7983244091	0.2355619674
91	0.799490066	0.2346832661
92	0.799490066	0.2337092097
93	0.799490066	0.2328720562
94	0.799490066	0.2319996527
95	0.799490066	0.23123927
96	0.7998261772	0.2303359594
97	0.7998261772	0.2294489154
98	0.7998261772	0.2286117118
99	0.799401191	0.2277981735
100	0.8012409357	0.2271745231
101	0.8005666175	0.2263255294
102	0.8005666175	0.2255403952
103	0.7998261772	0.2248409328
104	0.7998261772	0.224143889
105	0.7998261772	0.2235503749
106	0.8005666175	0.2229373442
107	0.8005666175	0.2222794273
108	0.8012409357	0.2219390788
109	0.8005666175	0.2212516999
110	0.8005666175	0.2205738733
111	0.8012409357	0.2199343187
112	0.8012409357	0.2192818355
113	0.8012409357	0.218872857
114	0.8012409357	0.2181046959
115	0.8012409357	0.2174830658
116	0.8012409357	0.2171867106
117	0.8012409357	0.2167131958
118	0.8012409357	0.2161996415
119	0.8012409357	0.2156503088
120	0.8012409357	0.2152066591
121	0.8012409357	0.2146788644
122	0.8012409357	0.21415611
123	0.8012409357	0.2134892105
124	0.8012409357	0.2129974976
125	0.8012409357	0.21250929
126	0.8005666175	0.2120897182
127	0.8005666175	0.2115997615
128	0.8005666175	0.2112309333
129	0.8012409357	0.2107797095
130	0.8012409357	0.210333702
